300 35312.2511767 62670.6420576063
310 35024.9340313101 63841.0255971245
320 36436.2403842309 63129.673551083
330 37195.1269156126 63403.4033211671
340 37227.8770091099 63499.5821796946
350 36884.3430072351 63768.2950197869
360 35700.4878808089 63220.5201113626
370 37802.8073435215 63301.3419588407
380 39326.7151681946 63617.1705240361
390 37839.4614150452 63649.080989109
400 37960.248360288 63628.1847203667
410 37707.7158951517 64953.9301017146
420 40577.0317832459 64011.2153940323
430 39258.438086034 64853.8083077172
440 40470.6215346104 64817.8818515711
450 39191.3684567363 65309.8782138884
460 41272.6697646897 65091.5658885118
470 40671.5949680437 65497.1745676843
480 41477.6725597212 65061.6790581925
490 41137.6811635457 65651.7749066228
500 43051.213496149 65802.045437569
510 43494.120547827 66635.3186904685
520 41977.7148289603 67195.5763015507
530 42908.611108105 67511.7699121969
540 43379.5318111763 68145.6515175809
550 43535.0005254574 68681.4573610485
560 45218.1978463411 68870.2840467268
570 43407.2193626916 67731.9685639419
580 42805.2734909608 69066.6075145707
590 46871.4343992909 69786.9035682141
600 44586.2073310282 71958.2897020631
610 46835.7746123625 70000.9526029531
620 44924.7222580628 70546.0148116564
630 47097.9791959161 69845.2309891803
640 48563.8298308753 73241.6491317849
650 46683.0521115876 72375.504176372
660 48688.4775581695 71876.3439526211
670 45165.6373721844 71611.28646883
680 49329.4014509206 72866.027583144
690 50161.7641790129 74415.1979152755
700 49324.1940883541 73471.2566399634
710 49601.6966664369 75162.1167635841
720 51577.8059145896 74190.9987533137
730 48485.2072321948 75089.9008125501
740 53626.7278107338 75717.9776770811
750 52741.3867618781 77296.1479282028
760 51984.9908400524 78476.2806107708
770 50637.2618532754 76207.0863774217
780 52726.0577517188 75874.6411306475
790 51900.8714221548 80037.8447592992
800 54026.4637282849 79151.7533008315
810 52298.315469962 80680.6130760467
820 53599.0826546403 82059.7580673472
830 56733.6293080113 80689.7214390923
840 54719.2258252874 82282.6346989333
850 55374.3269255742 84690.3998118485
860 55993.5645755678 83258.7445584306
870 57289.8744772722 84380.890161153
880 56718.0759021637 89628.5494073774
890 57940.9464291287 86334.6682234708
900 58459.1248178812 89939.7983489138
