300 715.380320043604 37605.8688712581
310 1923.3030471334 39255.9110493448
320 1988.17439435563 38603.075178528
330 535.346646471687 39381.5754205371
340 2046.00497220233 39157.8112338223
350 1939.86035149709 39626.1831119746
360 1771.5417110221 39745.2144255655
370 2167.52035188543 40055.2088097581
380 3493.85563960052 40255.0012631642
390 3164.87157259941 40540.6654862674
400 3159.71981231035 41278.3087236443
410 3107.35697852634 41745.7136304845
420 3417.98462133892 42176.7089593651
430 4758.55526584534 42655.9640329011
440 3481.02604344916 42780.7325797329
450 4365.08088925817 44192.0759473965
460 4191.85047280906 43627.2424760129
470 3810.91993925357 43282.0106325104
480 5061.19442111802 43446.1262826439
490 4902.56505015073 43173.8548349653
500 5501.88262950428 44700.4881847186
510 6258.84160806199 44715.5417380517
520 4628.61441246749 45574.928738745
530 6977.75610161256 48498.3602850706
540 4304.93349446439 44528.0332766261
550 7236.57980923365 45761.1549737643
560 7514.75480873397 46162.6926129242
570 7339.09705073263 46628.6365852945
580 5425.03289126162 46751.300620702
590 6531.95202075924 47608.1183263471
600 6468.62579963615 49004.0523720863
610 7153.55421471732 47534.1364146196
620 7344.68663851616 49050.0766632962
630 7338.59448500155 47856.3025283776
640 9109.95742573007 49656.4525515992
650 8600.76810719591 49722.2672370913
660 8001.23493012008 48152.3669187596
670 8242.87870091669 51350.5746956961
680 6273.70249502975 54322.7119387066
690 7210.37525939323 50414.3949593471
700 9323.38397020556 48909.8612064958
710 8664.04936688971 53340.2995695897
720 9902.98917419968 51702.8628621555
730 9530.89141574813 52651.3853435567
740 10888.8774550673 57490.9547918883
750 10258.1845200344 52537.9169860058
760 10371.225105627 54137.5143850002
770 10532.5794797173 56008.6850848552
780 11390.3971916226 55852.4064260584
790 12297.5346628129 57612.340224751
800 8964.55043572652 56083.6251166578
810 10465.2556395658 56767.3234993335
820 9392.39726631495 55623.4458775794
830 10900.4483001856 59685.6495279811
840 10979.8458722774 56716.8241959386
850 11158.468577016 56702.5690940852
860 13453.6914644103 63663.5288871732
870 11414.0072165898 62056.9468424775
880 11649.5956821671 56327.7084469981
890 11479.1868065003 60619.3260029219
900 12359.646685987 65250.6769791262
